  0.00000000E+00 -0.51865558E+01
  0.99217732E-02 -0.51888713E+01
  0.19843546E-01 -0.51957704E+01
  0.29765320E-01 -0.52071817E+01
  0.39687093E-01 -0.52229892E+01
  0.49608866E-01 -0.52430359E+01
  0.59530639E-01 -0.52671282E+01
  0.69452413E-01 -0.52950417E+01
  0.79374186E-01 -0.53265264E+01
  0.89295959E-01 -0.53613129E+01
  0.99217732E-01 -0.53991174E+01
  0.10913951E+00 -0.54396469E+01
  0.11906128E+00 -0.54826038E+01
  0.12898305E+00 -0.55276897E+01
  0.13890483E+00 -0.55746084E+01
  0.14882660E+00 -0.56230687E+01
  0.15874837E+00 -0.56727870E+01
  0.16867014E+00 -0.57234882E+01
  0.17859192E+00 -0.57749075E+01
  0.18851369E+00 -0.58267916E+01
  0.19843546E+00 -0.58788989E+01
  0.20835724E+00 -0.59310003E+01
  0.21827901E+00 -0.59828797E+01
  0.22820078E+00 -0.60343340E+01
  0.23812256E+00 -0.60851736E+01
  0.24804433E+00 -0.61352222E+01
  0.25796610E+00 -0.61843170E+01
  0.26788788E+00 -0.62323085E+01
  0.27780965E+00 -0.62790612E+01
  0.28773142E+00 -0.63244526E+01
  0.29765320E+00 -0.63683739E+01
  0.30757497E+00 -0.64107299E+01
  0.31749674E+00 -0.64514387E+01
  0.32741852E+00 -0.64904319E+01
  0.33734029E+00 -0.65276545E+01
  0.34726206E+00 -0.65630648E+01
  0.35718384E+00 -0.65966346E+01
  0.36710561E+00 -0.66283487E+01
  0.37702738E+00 -0.66582051E+01
  0.38694916E+00 -0.66862148E+01
  0.39687093E+00 -0.67124017E+01
  0.40679270E+00 -0.67368022E+01
  0.41671448E+00 -0.67594650E+01
  0.42663625E+00 -0.67804506E+01
  0.43655802E+00 -0.67998314E+01
  0.44647980E+00 -0.68176907E+01
  0.45640157E+00 -0.68341223E+01
  0.46632334E+00 -0.68492298E+01
  0.47624512E+00 -0.68631260E+01
  0.48616689E+00 -0.68759321E+01
  0.49608866E+00 -0.68877766E+01
  0.50601043E+00 -0.68987942E+01
  0.51593221E+00 -0.69091252E+01
  0.52585398E+00 -0.69189136E+01
  0.53577575E+00 -0.69283065E+01
  0.54569753E+00 -0.69374523E+01
  0.55561930E+00 -0.69464994E+01
  0.56554107E+00 -0.69555949E+01
  0.57546285E+00 -0.69648828E+01
  0.58538462E+00 -0.69745027E+01
  0.59530639E+00 -0.69845884E+01
  0.60522817E+00 -0.69952658E+01
  0.61514994E+00 -0.70066522E+01
  0.62507171E+00 -0.70188542E+01
  0.63499349E+00 -0.70319669E+01
  0.64491526E+00 -0.70460724E+01
  0.65483703E+00 -0.70612386E+01
  0.66475881E+00 -0.70775185E+01
  0.67468058E+00 -0.70949494E+01
  0.68460235E+00 -0.71135519E+01
  0.69452413E+00 -0.71333301E+01
  0.70444590E+00 -0.71542708E+01
  0.71436767E+00 -0.71763441E+01
  0.72428945E+00 -0.71995030E+01
  0.73421122E+00 -0.72236843E+01
  0.74413299E+00 -0.72488089E+01
